date,ITUB4,LREN3,MGLU3,TTEN3,VALE3,soma,evolucao_patrimonial,evolucao_percentual,evolucao_cum
2022-12-15,-116960.46,0.0,0.0,0.0,0.0,-116960.46,-649.2200000000157,0.00555076476272422,1.0037994803840369
2022-12-16,-118258.91,0.0,0.0,0.0,0.0,-118258.91,-1298.449999999997,0.01097972237356151,1.0148209199973788
2022-12-19,-121804.675,0.0,0.0,0.0,0.0,-121804.675,-3545.7649999999994,0.029110253773100246,1.0443626145127536
2022-12-20,-123103.13,0.0,0.0,0.0,0.0,-123103.13,-1298.4550000000017,0.010547700939854264,1.0553782390433983
2022-12-21,-123602.535,0.0,0.0,0.0,0.0,-123602.535,-499.40499999999884,0.004040410659862266,1.0596424005306158
2022-12-22,-123852.23,0.0,0.0,0.0,0.0,-123852.23,-249.69499999999243,0.0020160718947086578,1.0617787157927672
2022-12-23,-125799.91500000001,0.0,0.0,0.0,0.0,-125799.91500000001,-1947.6850000000122,0.015482403147887756,1.0782176019245173
2022-12-26,-123302.89499999999,0.0,0.0,0.0,0.0,-123302.89499999999,2497.0200000000186,-0.020251106026342842,1.0563825029484748
2022-12-27,-122603.72,0.0,0.0,0.0,0.0,-122603.72,699.1749999999884,-0.005702722560131033,1.050358246616783
2022-12-28,-125100.73999999999,0.0,0.0,0.0,0.0,-125100.73999999999,-2497.0199999999895,0.019960073777341283,1.0713234747118927
2022-12-29,-124851.045,0.0,0.0,0.0,0.0,-124851.045,249.69499999999243,-0.0019999432123294796,1.0691808886004335
2023-01-02,-122377.51,0.0,0.0,0.0,0.0,-122377.51,2473.5350000000035,-0.02021233313212537,1.0475702483015397
2023-01-03,-119829.01999999999,0.0,0.0,0.0,0.0,-119829.01999999999,2548.4900000000052,-0.02126771962250885,1.0252908179757805
2023-01-04,-120178.80500000001,0.0,0.0,0.0,0.0,-120178.80500000001,-349.78500000001804,0.0029105381768442283,1.0282749660438668
2023-01-05,-123926.58499999999,0.0,0.0,0.0,0.0,-123926.58499999999,-3747.7799999999843,0.03024193719208824,1.0593719929831622
2023-01-06,-126075.32,0.0,0.0,0.0,0.0,-126075.32,-2148.735000000015,0.017043264296295383,1.0774271498476675
2023-01-09,-126974.785,0.0,0.0,0.0,0.0,-126974.785,-899.4649999999965,0.0070838080174736775,1.0850594369300024
